domain,registrar,creation_date,expiration_date,status,name_servers
wz.net,"Name.com, Inc.",892094400,1617854400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.bodis.com"", ""ns1.bodis.com""}"
x0.net,Moniker Online Services LLC,973510591,1604662591,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dsredirection.com"", ""ns1.dsredirection.com""}"
x1.net,"GoDaddy.com, LLC",845265600,1602561600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns02.cashparking.com"", ""ns01.cashparking.com""}"
x2.net,"eName Technology Co., Ltd.",861768000,1619236800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.alidns.com"", ""ns1.alidns.com""}"
x3.net,United-Domains AG,920523600,1614834000,ok https://icann.org/epp#ok,"{""cns3.alfahosting.info"", ""cns1.alfahosting.info"", ""cns2.alfahosting.info""}"
x4.net,"Amazon Registrar, Inc.",869198400,1815796800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns-551.awsdns-04.net"", ""ns-1533.awsdns-63.org"", ""ns-1853.awsdns-39.co.uk"", ""ns-322.awsdns-40.com""}"
x5.net,"Network Solutions, LLC",876024000,1885780800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""panic.x5.net"", ""blues.x5.net"", ""metal.x5.net"", ""tesla.x5.net""}"
x6.net,"GoDaddy.com, LLC",870408000,1627704000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.cniweb.net"", ""ns1.cniweb.net"", ""ns4.cniweb.net"", ""ns5.cniweb.net"", ""ns3.cniweb.net""}"
x7.net,"DYNADOT, LLC",1069614401,1606158401,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
x8.net,"DOMAINCONTEXT, INC.",855723600,1613192400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.ihc.ru"", ""ns2.ihc.ru""}"
x9.net,CSL Computer Service Langenbach GmbH d/b/a joker.com,900734400,1594958400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.server108.co.uk"", ""ns1.server108.co.uk""}"
xa.net,"GoDaddy.com, LLC",901166400,1626926400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns77.domaincontrol.com"", ""ns78.domaincontrol.com""}"
xc.net,"NameSilo, LLC",892267200,1744257600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns5.linode.com"", ""ns1.linode.com"", ""ns3.linode.com"", ""ns4.linode.com"", ""ns2.linode.com""}"
xe.net,SafeNames Ltd.,795934800,1616558400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns-1164.awsdns-17.org"", ""ns-442.awsdns-55.com"", ""ns-835.awsdns-40.net"", ""ns-1635.awsdns-12.co.uk""}"
