domain,registrar,creation_date,expiration_date,status,name_servers
oc.org,"Network Solutions, LLC",862545600,1777780800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns5.linode.com"", ""ns1.linode.com"", ""ns3.linode.com"", ""ns4.linode.com"", ""ns2.linode.com""}"
od.org,"GoDaddy.com, LLC",828680400,1680753600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns01.domaincontrol.com"", ""pdns02.domaincontrol.com""}"
oe.org,"DNC Holdings, Inc.",926107626,1620418002,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.rackspace.com"", ""ns.rackspace.com""}"
of.org,"Name.com, Inc.",867384000,1782446400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.exi.net"", ""ns1.exi.net""}"
og.org,"GoDaddy.com, LLC",820558800,1609477200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
oh.org,Tucows Inc.,866174400,1591934400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.mailbank.com"", ""ns2.mailbank.com""}"
oi.org,"GoDaddy.com, LLC",840859200,1598155200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""buy.internettraffic.com"", ""sell.internettraffic.com""}"
oj.org,"GoDaddy.com, LLC",902548800,1596772800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ok.org,"Network Solutions, LLC",820558800,1609477200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns66.worldnic.com"", ""ns65.worldnic.com""}"
ol.org,"GoDaddy.com, LLC",910846800,1605070800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
om.org,Mesh Digital Limited,707371200,1653969600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns-452.awsdns-56.com"", ""ns-1365.awsdns-42.org"", ""ns-710.awsdns-24.net"", ""ns-1603.awsdns-08.co.uk""}"
on.org,"GoDaddy.com, LLC",909550800,1603774800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
